number,idx,author_short,year,journal_short,doi,Hyperlink,openalex_id,authors,title,institutions,abstract,match_type,techmax,methmax,contmax,tech|00,tech|01,tech|02,tech|03,tech|04,tech|05,tech|06,tech|07,tech|08,tech|09,tech|10,tech|11,tech|12,tech|13,tech|14,tech|15,tech|16,meth|00,meth|01,meth|02,meth|03,meth|04,meth|05,meth|06,meth|07,meth|08,meth|09,cont|0,cont|1,cont|2,cont|3,cont|4,cont|5,peer-reviewed,openalex_landing_page,toxic,hazard,harm,nickel,chromium,dunite,olivine,ultramafic,serpentine,mafic,basalt,wollastonite,Ni,Cr,keyword_analyzed,cdrlit_meth
1,9959.0,Kojima,1995,ECM,10.1016/0196-8904(95)00144-3,https://doi.org/10.1016/0196-8904(95)00144-3,W2026103045,Toshinori Kojima,Evaluation strategies for chemical and biological fixation/utilization processes of carbon dioxide,"Department of Industrial Chemistry, Seikei University, 3-3-1 Kichijojikita-Machi, Musashino, Tokyo 180, Japan","Various chemical and biological processes have so far been proposed for carbon dioxide recovery, conversion into organic matter and reutilization, which is called the carbon recycling system. In this paper, their evaluation strategies are discussed. They are classified into two categories; with and without energy which is utilized artificially. It is clarified that most of the chemical and biological carbon dioxide fixation systems or carbon recycling systems with artificial energy should be evaluated from the energy point of view as primary and secondary energy systems, and comparing them with other alternative soft energy paths so far proposed. Chemical and biological processes which should be evaluated separately from new soft energy paths are only those which essentially require no artificial energy, such as afforestation of deserts, fertilization to ocean and utilization of rock weathering reaction.",doi,tech|10,meth|05,cont|5,0.05,0.01,0.03,0.1,0.02,0.07,0.03,0.02,0.04,0.01,0.84,0.2,0.04,0.03,0.14,0.2,0.02,0.02,0.01,0.01,0.22,0.02,0.74,0.03,0.01,0.05,0.05,0.0,0.0,0.0,0.0,0.02,0.98,yes (?),https://doi.org/10.1016/0196-8904(95)00144-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2,,Schuiling & Krijgsman,2006,CC,10.1007/s10584-005-3485-y,https://doi.org/10.1007/s10584-005-3485-y,,,Enhanced Weathering: An Effective and Cheap Tool to Sequester CO2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,0,0,0,4,1,11,43,0,0,0,2,0,1,0,1,0
3,,Hartmann & Kempe,2008,NW,10.1007/s00114-008-0434-4,https://doi.org/10.1007/s00114-008-0434-4,,,"What is the maximum potential for CO2 sequestration by ""stimulated"" weathering on the global scale?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,0,0,0,0,0,0,3,0,0,0,3,5,0,0,1,0
4,46645.0,Manning,2008,MM,10.1180/minmag.2008.072.2.639,https://doi.org/10.1180/minmag.2008.072.2.639,W1980470118,David Manning,Biological enhancement of soil carbonate precipitation: passive removal of atmospheric CO<sub>2</sub>,"Institute for Research on Environment and Sustainability, Newcastle University, Newcastle upon Tyne NE1 7RU, UK,","Soils are the dominant terrestrial sink for carbon, containing three times as much C as above-ground plant biomass, and acting as a host for both organic and inorganic C, as soil organic matter and pedogenic carbonates, respectively. This article reviews evidence for the generation within the soil solution of dissolved C derived from plants and recognition of its precipitation as carbonates. It then considers the potential value of this process for artificially-mediated CO 2 sequestration within soils. The ability of crops such as wheat to produce organic acid anions as root exudates is substantial, generating 70 mol/(y kg) of exuded C, equivalent to the plant's own ‘body weight’. This is still an order of magnitude less than measured C production from Icelandic woodlands (Moulton et al. , 2000), which have no other possible source of C. Thus, there is apparently no shortage of available dissolved C, as bicarbonate in solution, and so the formation of pedogenic carbonates will be controlled by the availability of Ca. This is derived from mineral weathering, primarily of silicate minerals (natural plagioclase feldspars and pyroxenes; artificial cement and slag minerals). Within the UK, existing industrial arisings of calcium silicate minerals from quarrying, demolition and steel manufacture that are fine-grained and suitable for incorporation into soils are sufficient to account for 3 MT CO 2 per year, compensating for half of the emissions from UK cement manufacture. Pursuing these arguments, it is shown that soils have a role to play as passive agents in the removal of atmospheric CO 2 , analogous to the use of reed beds to clean contaminated waters.",doi,tech|10,meth|05,cont|5,0.02,0.01,0.01,0.02,0.67,0.03,0.05,0.01,0.02,0.03,0.87,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.02,0.01,0.03,0.01,0.95,0.01,0.0,0.02,0.03,0.0,0.0,0.0,0.0,0.0,1.0,yes,https://doi.org/10.1180/minmag.2008.072.2.639,1,0,0,0,0,0,1,0,0,0,4,0,0,0,1,1
5,,Renforth et al.,2009,AG,10.1016/j.apgeochem.2009.05.005,https://doi.org/10.1016/j.apgeochem.2009.05.005,,,Carbonate precipitation in artificial soils as a sink for atmospheric carbon dioxide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
6,5651.0,Khler et al.,2010,PNAS,10.1073/pnas.1000545107,https://doi.org/10.1073/pnas.1000545107,W2052372268,Peter Köhler; Jens Hartmann; Dieter Wolf-Gladrow,Geoengineering potential of artificially enhanced silicate weathering of olivine,"Alfred Wegener Institute for Polar and Marine Research (AWI), P.O. Box 12 01 61, D-27515 Bremerhaven, Germany; and; Institute for Biogeochemistry and Marine Chemistry, KlimaCampus, Universität Hamburg, Bundesstrasse 55, 20146 Hamburg, Germany; Alfred Wegener Institute for Polar and Marine Research (AWI), P.O. Box 12 01 61, D-27515 Bremerhaven, Germany; and","Geoengineering is a proposed action to manipulate Earth's climate in order to counteract global warming from anthropogenic greenhouse gas emissions. We investigate the potential of a specific geoengineering technique, carbon sequestration by artificially enhanced silicate weathering via the dissolution of olivine. This approach would not only operate against rising temperatures but would also oppose ocean acidification, because it influences the global climate via the carbon cycle. If important details of the marine chemistry are taken into consideration, a new mass ratio of CO(2) sequestration per olivine dissolution of about 1 is achieved, 20% smaller than previously assumed. We calculate that this approach has the potential to sequestrate up to 1 Pg of C per year directly, if olivine is distributed as fine powder over land areas of the humid tropics, but this rate is limited by the saturation concentration of silicic acid. In our calculations for the Amazon and Congo river catchments, a maximum annual dissolution of 1.8 and 0.4 Pg of olivine seems possible, corresponding to the sequestration of 0.5 and 0.1 Pg of C per year, but these upper limit sequestration rates come at the environmental cost of pH values in the rivers rising to 8.2. Open water dissolution of fine-grained olivine and an enhancement of the biological pump by the rising riverine input of silicic acid might increase our estimate of the carbon sequestration, but additional research is needed here. We finally calculate with a carbon cycle model the consequences of sequestration rates of 1-5 Pg of C per year for the 21st century by this technique.",doi,tech|10,meth|02,cont|5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,yes,https://doi.org/10.1073/pnas.1000545107,0,0,0,0,0,4,79,0,0,0,1,0,0,0,1,1
7,46624.0,Renforth et al.,2011,ES&T,10.1021/es103241w,https://doi.org/10.1021/es103241w,W2042023897,Phil Renforth; Carla-Leanne Washbourne; J. Taylder; David Manning,Silicate Production and Availability for Mineral Carbonation,"Newcastle University; §School of Civil Engineering and Geosciences, Newcastle University, Newcastle upon Tyne NE1 7RU, U.K.; §School of Civil Engineering and Geosciences, Newcastle University, Newcastle upon Tyne NE1 7RU, U.K.; §School of Civil Engineering and Geosciences, Newcastle University, Newcastle upon Tyne NE1 7RU, U.K.","Atmospheric carbon dioxide sequestered as carbonates through the accelerated weathering of silicate minerals is proposed as a climate change mitigation technology with the potential to capture billions of tonnes of carbon per year. Although these materials can be mined expressly for carbonation, they are also produced by human activities (cement, iron and steel making, coal combustion, etc.). Despite their potential, there is poor global accounting of silicates produced in this way. This paper presents production estimates (by proxy) of various silicate materials including aggregate and mine waste, cement kiln dust, construction and demolition waste, iron and steel slag, and fuel ash. Approximately 7−17 billion tonnes are produced globally each year with an approximate annual sequestration potential of 190−332 million tonnes C. These estimates provide justification for additional research to accurately quantify the contemporary production of silicate minerals and to determine the location and carbon capture potential of historic material accumulations.",doi,tech|10,meth|03,cont|5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,yes,https://doi.org/10.1021/es103241w,1,4,0,0,0,0,1,0,1,0,0,1,1,0,1,1
8,46622.0,Renforth,2012,IJGGC,10.1016/j.ijggc.2012.06.011,https://doi.org/10.1016/j.ijggc.2012.06.011,W2048615879,Phil Renforth,The potential of enhanced weathering in the UK,"Oxford Geoengineering Programme, Oxford Martin School, Old Indian Institute, University of Oxford, 34 Broad Street, Oxford OX1 3BD, United Kingdom","Enhanced weathering is the process by which carbon dioxide is sequestered from the atmosphere through the dissolution of silicate minerals on the land surface. The carbon capture potential of enhanced weathering is large, yet there are few data on the effectiveness or engineering feasibility of such a scheme. Here, an energy/carbon balance is presented together with the associated operational costs for the United Kingdom as a case study. The silicate resources are large and could theoretically capture 430 billion tonnes (Gt) of CO2. The majority of this resource is contained in basic rocks (with a carbon capture potential of ∼0.3 tCO2 t−1 rock). There are a limited number of ultrabasic formations (0.8 tCO2 t−1 rock) with a total carbon capture potential of 25.4 GtCO2. It is shown that the energy costs of enhanced weathering may be 656–3501 kWh tCO2−1 (net CO2 draw-down, which accounts for emissions during production) for basic rocks and 224–748 kWh tCO2−1 for ultrabasic rocks. Comminution and material transport are the most energy intensive processes accounting for 77–94% of the energy requirements collectively. The operational costs of enhanced weathering could be £44–361 tCO2−1 ($70–578 tCO2−1) and £15–77 tCO2−1 ($24–123 tCO2−1) for basic and ultrabasic rocks respectively. Providing sufficient weathering rates full exploitation of this resource is not possible given the environmental and amenity value of some of the rock formations. Furthermore, the weathering rate and environmental impact of silicate mineral application to the land surface is not fully understood, and further investigation in this area is required to reduce the uncertainty in the estimated costs presented here.",doi,tech|10,meth|03,cont|4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,yes,https://doi.org/10.1016/j.ijggc.2012.06.011,0,0,0,1,0,1,14,0,0,0,6,2,0,0,1,1
9,,Washbourne et al.,2012,STE,10.1016/j.scitotenv.2012.05.037,https://doi.org/10.1016/j.scitotenv.2012.05.037,,,Investigating carbonate formation in urban soils as a method for capture and storage of atmospheric carbon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
10,,ten Berge et al.,2012,PO,10.1371/journal.pone.0042098,https://doi.org/10.1371/journal.pone.0042098,,,"Olivine weathering in soil, and its effects on growth and nutrient uptake in ryegrass (Lolium perenne L.): A pot experiment",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,9,0,0,4,1,0,139,2,9,0,0,0,46,1,1,0
